Name,Number,Education
Atta ur Rehman Khan,0,Mobile Cloud Computing Cybersecurity IoT
Wil van der Aalst,0,business process management process mining Petri nets
Scott Aaronson,4,quantum computing and complexity theory
Rediet Abebe,3,algorithms artificial intelligence
Hal Abelson,1,intersection of computing and teaching
Serge Abiteboul,4,database theory
Samson Abramsky,4,game semantics
Leonard Adleman,1,RSA DNA computing
Manindra Agrawal,8,polynomial-time primality testing
Luis von Ahn,3,human-based computation
Alfred Aho,7,compilers book the 'a' in AWK
Frances E. Allen,6,compiler optimization
Gene Amdahl,2,supercomputer developer Amdahl Corporation founder
David P. Anderson,2,volunteer computing
Lisa Anthony,0,natural user interfaces
Andrew Appel,0,compiler of text books
Cecilia R. Aragon,1,invented treap human-centered data science
Bruce Arden,0,programming language compilers (GAT Michigan Algorithm Decoder (MAD)) virtual memory architecture Michigan Terminal System (MTS)
Angie Jones,0,[]
Sanjeev Arora,0,PCP theorem
"Winifred ""Tim"" Alice Asprey",0,established the computer science curriculum at Vassar College
John Vincent Atanasoff,1,computer pioneer creator of Atanasoff Berry Computer (ABC)
Shakuntala Atre,0,database theory
Charles Babbage,1,invented first mechanical computer called the supreme mathematician
Charles Bachman,3,American computer scientist known for Integrated Data Store
Roland Carl Backhouse,0,mathematics of computer program construction algorithmic problem solving ALGOL
John Backus,3,FORTRAN Backus–Naur form first complete compiler
David F. Bacon,1,programming languages garbage collection
David Bader,5,[]
Victor Bahl,4,[]
Anthony James Barr,0,SAS System
Jean Bartik,1,"one of the first computer programmers on ENIAC (1946) one of the first Vacuum tube computers back when ""programming"" involved using cables dials and switches to physically rewire the machine; worked with John Mauchly toward BINAC (1949) EDVAC (1949) UNIVAC (1951) to develop early ""stored program"" computers"
Andrew Barto,1,[]
Friedrich L. Bauer,3,Stack (data structure) Sequential Formula Translation ALGOL software engineering Bauer–Fike theorem
Rudolf Bayer,2,B-tree
Gordon Bell,8,computer designer DEC VAX author: Computer Structures
Steven M. Bellovin,0,network security
Cecilia Berdichevsky,0,[]
Tim Berners-Lee,5,World Wide Web
Daniel J. Bernstein,0,qmail software as protected speech
Peter Bernus,0,[]
Abhay Bhushan,0,[]
Dines Bjørner,1,Vienna Development Method (VDM) RAISE
Gerrit Blaauw,0,one of the principal designers of the IBM System 360 line of computers
Sue Black,1,[]
David Blei,2,[]
Dorothy Blum,0,National Security Agency
Lenore Blum,3,complexity
Manuel Blum,4,cryptography
Barry Boehm,0,software engineering economics spiral development
Corrado Böhm,0,author of the structured program theorem
Kurt Bollacker,0,[]
